mol,name,pIC50,ast_fraglike,b_triple,density,FCharge,GCUT_PEOE_0,GCUT_PEOE_2,GCUT_SLOGP_1,logP(o/w),PEOE_RPC+,PEOE_VSA-0,PEOE_VSA_FPOL,Q_VSA_FPNEG,Q_VSA_FPPOS,VDistEq
O=C(Nc1ccc(CCN2Cc3c(cc(OC)c(OC)c3)CC2)cc1)COc1c(N)cccc1,CHEMBL473198,5.4685211,0,0,0.71359909,0,-0.85059005,0.048907824,-0.31420803,3.5357399,0.090178788,97.557671,0.085751094,0.058545005,0.10924617,4.1734409
O(C)c1c(OC)ccc(Nc2nc(-c3cc(OC)c(OC)cc3)nc3c2cccc3)c1,CHEMBL3092483,5.4571748,0,0,0.73325253,0,-0.78805029,0.047002256,-0.33059388,4.14048,0.066264458,98.03923,0.051164646,0.051164646,0.089644708,3.6174815
O=[N+]([O-])c1c(NC(=O)c2cc(O)c(OC)cc2)ccc(-c2ccccc2)c1,CHEMBL1945982,5.4559321,0,0,0.77816206,0,-0.79128468,0.079731055,-0.30293575,4.4720001,0.12819746,53.436695,0.25087926,0.16531123,0.10254702,3.6024375
O=C(N([C@H](C(=O)N[C@H](C(=O)N[C@@H]([C@H](O)[C@@H](C/C=C/CC)C)C(=O)N[C@H](C(=O)N1[C@@H](C)CCC1)CC)C(C)C)CC(C)C)C)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](N(C=O)C)CC(C)C)C(C)C)CC(C)C)C)C)CC(C)C,CHEMBL2369932,5.4559321,0,0,0.70157123,0,-0.85643882,0.036175232,-0.30766723,6.428,0.027986383,134.55486,0.2352061,0.38117006,0.19523153,4.9180274
Clc1c(C(OCc2c(Cl)cc(Cl)cc2)Cn2cncc2)ccc(Cl)c1,CHEMBL91,5.4559321,0,0,0.88078159,0,-0.85164118,0.061871257,-0.24002782,6.085,0.067792259,51.228157,0.02212329,0.067378566,0.053660776,3.3449552
O=C(c1cc(OCC(O)CN2CCCCC2)ccc1)c1ccccc1,CHEMBL2059230,5.4497719,0,0,0.69545567,0,-0.85186458,0.077278927,-0.32271999,3.6919999,0.11063544,68.297081,0.096586585,0.067397274,0.053103898,3.6710179
O(C)c1cc2c(C(=O)/C(=C/c3cc4c(cc3)cccc4)/CC2)cc1,CHEMBL3233495,5.4497719,0,0,0.69174659,0,-0.78932863,0.076377101,-0.30956173,5.2290001,0.14461863,87.511307,0.053529646,0.053529646,0.028174391,3.4818361
O=C(/C=C/c1cc(N2CCNCC2)ccc1)c1c(O)c(CCCC)c(OC)cc1OC,CHEMBL4539310,5.4473319,0,0,0.6995939,0,-0.84459853,0.032203685,-0.31532499,4.5640001,0.09051773,68.630783,0.081074059,0.099630348,0.11848691,3.7410698
O([C@@H]([C@H]1N2C[C@H](C=C)[C@H](C1)CC2)c1c2c(ncc1)ccc(OC)c2)C(=O)CCCCCCn1nnc(CCC(O[C@@H]([C@H]2N3C[C@H](C=C)[C@H](C2)CC3)c2c3c(ncc2)ccc(OC)c3)=O)c1,CHEMBL2042909,5.4436975,0,0,0.7142508,0,-0.84889513,0.038133509,-0.32297495,7.277,0.059537541,181.04884,0.09059184,0.18245168,0.061175674,4.6649275
O=C(OC[C@@H]1C=C[C@H](n2c3nc(N)nc(NC4CC4)c3nc2)C1)CCCCCCCCC(=O)OC[C@@H]1C=C[C@H](n2c3nc(N)nc(NC4CC4)c3nc2)C1,CHEMBL3220345,5.4436975,0,0,0.74973619,0,-0.82657164,0.084954843,-0.3214983,4.2821202,0.053612653,69.610504,0.18622236,0.1856526,0.22273619,4.8694844
O=C(O)c1ccc(Nc2nc(-c3ccncc3)nc3c2cccc3)cc1,CHEMBL3770841,5.4353337,0,0,0.75405008,0,-0.78411859,0.096642442,-0.35686699,3.188,0.14659236,98.03923,0.19748706,0.11969803,0.19494081,3.4582109
O=C(OC)N1C2C3(CO)[C@H](c4ccccc4)C4C5N(C(=O)OC)C3C2[C@H](c2ccccc2)C5(CO)C14,CHEMBL207637,5.4202166,0,0,0.76439059,0,-0.83644545,0.079296514,-0.3112087,1.484,0.11441249,4.4170794,0.23950452,0.1069932,0.16075137,3.2209008
